Abomasnow Mega Abomasnow,,
Abra,Kadabra,Alakazam
Absol,,
Absol Mega Absol,,
Aerodactyl,,
Aerodactyl Mega Aerodactyl,,
Aggron Mega Aggron,,
Aipom,Ambipom,
Alakazam Mega Alakazam,,
Alomomola,,
Altaria Mega Altaria,,
Amaura,Aurorus,
Ampharos Mega Ampharos,,
Anorith,Armaldo,
Archen,Archeops,
Aron,Lairon,Aggron
Articuno,,
Articuno Galarian Form,,
Audino,,
Audino Mega Audino,,
Avalugg Hisuian Form,,
Axew,Fraxure,Haxorus
Azelf,,
Azurill,Marill,Azumarill
Bagon,Shelgon,Salamence
Baltoy,Claydol,
Banette Mega Banette,,
Barboach,Whiscash,
Basculin Blue-Striped Form,,
Basculin Red-Striped Form,,
Basculin White-Striped Form,,
Beedrill Mega Beedrill,,
Beldum,Metang,Metagross
Metagross Mega Metagross,,
Bellsprout,Weepinbell,Victreebel
Bergmite,Avalugg,
Bidoof,Bibarel,
Binacle,Barbaracle,
Blacephalon,,
Blastoise Mega Blastoise,,
Blaziken Mega Blaziken,,
Blitzle,Zebstrika,
Bombirdier,,
Bonsly,Sudowoodo,
Bouffalant,,
Bounsweet,Steenee,Tsareena
Braviary Hisuian Form,,
Bronzor,Bronzong,
Bruxish,,
Budew,Roselia,Roserade
Buizel,Floatzel,
Bulbasaur,Ivysaur,Venusaur
Buneary,Lopunny,
Bunnelby,Diggersby,
Burmy,Mothim,
Burmy,Wormadam Plant Cloak,
Burmy,Wormadam Sandy Cloak,
Burmy,Wormadam Trash Cloak,
Buzzwole,,
Cacnea,Cacturne,
Carbink,,
Carnivine,,
Carvanha,Sharpedo,
Sharpedo Mega Sharpedo,,
Castform,,
Castform Rainy Form,,
Castform Snowy Form,,
Castform Sunny Form,,
Caterpie,Metapod,Butterfree
Celebi,,
Celesteela,,
Cetoddle,Cetitan,
Charcadet,Armarouge,
Charcadet,Ceruledge,
Charizard Mega Charizard X,,
Charizard Mega Charizard Y,,
Charmander,Charmeleon,Charizard
Chatot,,
Cherubi,Cherrim Overcast Form,
Cherubi,Cherrim Sunshine Form,
Chespin,Quilladin,Chesnaught
Chikorita,Bayleef,Meganium
Chimchar,Monferno,Infernape
Chinchou,Lanturn,
Chingling,Chimecho,
Clamperl,Gorebyss,
Clamperl,Huntail,
Clauncher,Clawitzer,
Cleffa,Clefairy,Clefable
Cobalion,,
Combee,Vespiquen,
Comfey,,
Corphish,Crawdaunt,
Corsola,,
Cosmog,Cosmoem,Lunala
Cosmog,Cosmoem,Solgaleo
Cosmog,Cosmoem,Solgaleo
Cosmog,Cosmoem,Lunala
Cottonee,Whimsicott,
Crabrawler,Crabominable,
Cranidos,Rampardos,
Cresselia,,
Croagunk,Toxicroak,
Cryogonal,,
Cubchoo,Beartic,
Cubone,Marowak,
Cutiefly,Ribombee,
Cyndaquil,Quilava,Typhlosion
Darkrai,,
Darumaka Galarian Form,Darmanitan Galarian Form Standard Mode,
Darumaka,Darmanitan Standard Mode,
Darmanitan Zen Mode,,
Darmanitan Galarian Form Zen Mode,,
Decidueye Hisuian Form,,
Dedenne,,
Deerling,Sawsbuck,
Deino,Zweilous,Hydreigon
Delibird,,
Deoxys Attack Form,,
Deoxys Defense Form,,
Deoxys Normal Form,,
Deoxys Speed Form,,
Dewpider,Araquanid,
Dialga,,
Dialga Origin Form,,
Diancie,,
Diancie Mega Diancie,,
Diglett Alolan Form,Dugtrio Alolan Form,
Diglett,Dugtrio,
Ditto,,
